# started on Thu Feb 29 14:31:29 2024

#           time             counts unit events
     0.073235995      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.074399528      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.074399528      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.074399528      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.074399528      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.075572967      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.075572967      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.075572967      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.075572967      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.076805113      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.076805113      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.076805113      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.076805113      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.077998521      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.077998521      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.077998521      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.077998521      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.079179031      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.079179031      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.079179031      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.079179031      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.080386818      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.080386818      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.080386818      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.080386818      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.081560457      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.081560457      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.081560457      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.081560457      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.082745166      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.082745166      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.082745166      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.082745166      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.083888539      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.083888539      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.083888539      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.083888539      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.085068869      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.085068869      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.085068869      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.085068869      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.086241821      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.086241821      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.086241821      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.086241821      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.087413536      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
